@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

iris,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.091624,0.216884,20.615389,46.008047,23.774438,5.556843,18.217595,1.584963,0.370456,1.214506,19.884616,1.325641,1254.579594,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.946667,0.888889,0.93266,0.933333,0.001,0,0,0,0,0,9652,10633,2353,100,51.111111,?
iris,2,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,13,2,0,86.666667,13.333333,0,0.8,0.077481,0.234782,17.433298,49.804678,23.774438,6.511894,17.262543,1.584963,0.434126,1.150836,20.181745,1.34545,1273.326334,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.986667,0.977778,0.861111,0.866667,0,0,0,0,0,0,9713,10633,2353,93.333333,35.555556,?
iris,2,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,12,3,0,80,20,0,0.7,0.142812,0.333362,32.132726,70.716747,23.774438,16.6472,7.127237,1.584963,1.109813,0.475149,17.061785,1.137452,1076.478752,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.8,0.1,0.9,0.2,0.875,0.8,0.78022,0.738713,0.9,0.796717,0.78022,0.8,0.001,0,0,0,0,0,9571,10633,2353,86.666667,42.222222,?
iris,2,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.060147,0.188428,13.533081,39.971538,23.774438,3.951982,19.822456,1.584963,0.263465,1.321497,21.009392,1.400626,1325.545058,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0,0,0,0,0,0,9573,10633,2353,100,40,?
iris,2,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,15,0,0,100,0,0,1,0.023059,0.04755,5.188238,10.086825,23.774438,0.801088,22.97335,1.584963,0.053406,1.531557,22.97335,1.531557,1449.456978,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,9577,10633,2353,100,44.444444,?
iris,2,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,15,0,0,100,0,0,1,0.058335,0.101949,13.125466,21.626596,23.774438,2.110461,21.663977,1.584963,0.140697,1.444265,21.663977,1.444265,1366.844758,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9573,10633,2353,100,51.111111,?
iris,2,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.053049,0.150027,11.93611,31.825506,23.774438,2.294593,21.479844,1.584963,0.152973,1.43199,21.479844,1.43199,1355.227288,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.993333,0.977778,0.93266,0.933333,0,0,0,0,0,0,9573,10633,2353,100,37.777778,?
iris,2,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,15,0,0,100,0,0,1,0.029304,0.047982,6.593446,10.17848,23.774438,1.002419,22.772019,1.584963,0.066828,1.518135,22.772019,1.518135,1436.754421,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9577,10633,2353,100,42.222222,?
iris,2,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,13,2,0,86.666667,13.333333,0,0.8,0.082223,0.231385,18.500194,49.084224,23.774438,8.187415,15.587023,1.584963,0.545828,1.039135,20.035769,1.335718,1264.116257,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.986667,0.969841,0.861111,0.866667,0.001,0,0,0,0,0,9571,10633,2353,93.333333,44.444444,?
iris,2,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,13,2,0,86.666667,13.333333,0,0.8,0.142804,0.252102,32.130794,53.478904,23.774438,6.428472,17.345966,1.584963,0.428565,1.156398,17.411802,1.160787,1098.562416,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.946667,0.86455,0.861111,0.866667,0,0,0,0,0,0,9587,10633,2353,100,55.555556,?
iris,2,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.044296,0.188964,9.966505,40.085285,23.774438,3.478873,20.295565,1.584963,0.231925,1.353038,21.615233,1.441016,1363.769338,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.001,0,0,0,0,0,9636,10633,2353,100,35.555556,?
iris,3,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.062356,0.17894,14.030177,37.958838,23.774438,3.333014,20.441424,1.584963,0.222201,1.362762,20.81886,1.387924,1313.523848,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0,0,0,0,0,0,9571,10633,2353,100,40,?
iris,3,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.083675,0.221666,18.826881,47.022384,23.774438,4.400454,19.373984,1.584963,0.293364,1.291599,19.807727,1.320515,1249.728412,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.001,0,0,0,0,0,9652,10633,2353,100,40,?
iris,3,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.054221,0.209368,12.199739,44.41364,23.774438,6.84628,16.928158,1.584963,0.456419,1.128544,21.280104,1.418674,1342.625079,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.98,0.941667,0.93266,0.933333,0,0,0,0,0,0,9648,10633,2353,93.333333,35.555556,?
iris,3,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.052818,0.163024,11.883978,34.582531,23.774438,2.671032,21.103405,1.584963,0.178069,1.406894,21.351241,1.423416,1347.113349,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0,0.001,0,0,0,0,9573,10633,2353,100,42.222222,?
iris,3,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,13,2,0,86.666667,13.333333,0,0.8,0.111143,0.283735,25.007219,60.189333,23.774438,12.178635,11.595803,1.584963,0.811909,0.773054,18.570958,1.238064,1171.69698,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.92,0.845238,0.861111,0.866667,0,0,0,0,0,0,9650,10633,2353,93.333333,42.222222,?
iris,3,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,15,0,0,100,0,0,1,0.007358,0.014935,1.655546,3.168235,23.774438,0.243057,23.53138,1.584963,0.016204,1.568759,23.53138,1.568759,1484.664787,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9648,10633,2353,100,35.555556,?
iris,3,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.060007,0.216021,13.501545,45.824888,23.774438,8.926783,14.847654,1.584963,0.595119,0.989844,21.051026,1.403402,1328.171895,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.946667,0.896667,0.93266,0.933333,0,0,0,0,0,0,9650,10633,2353,93.333333,35.555556,?
iris,3,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,15,0,0,100,0,0,1,0.032752,0.103344,7.369232,21.922629,23.774438,1.32477,22.449668,1.584963,0.088318,1.496645,22.449668,1.496645,1416.416325,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,9569,10633,2353,100,40,?
iris,3,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.055526,0.208397,12.493254,44.207763,23.774438,7.128286,16.646152,1.584963,0.475219,1.109743,21.241356,1.41609,1340.180322,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0,0,0,0,0,9491,10633,2353,93.333333,33.333333,?
iris,3,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,14,1,0,93.333333,6.666667,0,0.9,0.066538,0.196688,14.971105,41.723723,23.774438,4.354418,19.420019,1.584963,0.290295,1.294668,20.851422,1.390095,1315.578252,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.986667,0.95873,0.93266,0.933333,0,0.001,0,0,0,0,9634,10633,2353,100,48.888889,?
iris,4,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.StratifiedRemoveFolds -S 0 -N 10 -F 1\" -S 1 -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20180801.1831,135,15,13,2,0,86.666667,13.333333,0,0.8,0.096068,0.253886,21.615236,53.857263,23.774438,6.096408,17.678029,1.584963,0.406427,1.178535,19.198301,1.279887,1211.277936,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.98,0.956508,0.866667,0.866667,0,0,0,0,0,0,9715,10633,2353,100,44.444444,?
