@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Standardize-unset-class-temporarily

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
0.611101,-2.088652,-0.853918,-0.716389,QSO
0.117657,-1.051135,-0.788184,0.025655,QSO
0.71753,-0.550142,-1.779662,-1.660409,QSO
-0.044405,-1.62319,-0.744362,-0.949101,QSO
-0.941795,-1.040475,-1.029207,-1.695535,QSO
0.676409,-0.596332,-1.93304,-1.590156,QSO
0.453876,-1.246557,-0.957996,-0.747124,QSO
0.756231,-1.01205,-1.681062,-1.620891,QSO
-0.211305,-1.274983,-1.872785,-2.542957,QSO
-0.982915,-1.786635,-1.971385,-1.950201,QSO
0.84089,-1.13641,-0.908696,-3.122542,QSO
-0.112133,-0.848606,-1.582462,-2.042407,QSO
-0.721681,-2.891662,-2.732796,0.152988,QSO
-0.235494,-1.886123,-1.231885,-1.287191,QSO
-2.777695,-0.83084,-0.766273,-1.752615,QSO
0.265206,-1.356705,-0.65124,0.728181,QSO
0.434525,-1.189707,-0.859396,-0.50124,QSO
-1.546505,-3.570312,-2.469863,-3.096197,QSO
0.127332,-0.76333,-1.746796,-0.971055,QSO
0.482902,-0.990731,-0.004862,-1.230111,QSO
0.294232,-0.905456,-1.801574,-1.572593,QSO
0.475645,-0.45776,-2.535596,-0.878848,QSO
-0.356436,-1.793741,-2.206929,-2.029235,QSO
-6.594626,-4.622042,-1.576985,-1.019353,QSO
0.093469,-0.720692,-0.684107,-1.642845,QSO
0.357122,-1.182601,-1.790618,-0.966664,QSO
-2.978459,-1.232345,-1.494818,-0.909583,QSO
0.086212,-0.511057,-1.839918,-1.238893,QSO
0.052348,-0.877031,-0.623851,-0.163149,QSO
-9.267445,-1.164835,-0.89774,-0.979836,QSO
-0.794246,-2.046014,-1.719407,-2.402452,QSO
0.918293,-0.486185,-1.127807,-2.44636,QSO
0.078956,-0.670948,-0.684107,-0.979836,QSO
-0.063756,-1.37447,-1.670107,-0.356344,QSO
-0.254844,-1.466852,-2.458907,-1.339881,QSO
-0.378205,-0.365378,-1.615329,-0.826158,QSO
0.337772,-1.964292,-1.878262,-1.370616,QSO
-0.129065,-0.123765,-1.472907,-1.199376,QSO
0.449038,-0.319187,-2.628718,-1.906293,QSO
-0.286289,-1.228792,-0.590984,0.021264,QSO
-0.141159,-0.038489,-2.064507,-1.023744,QSO
-0.235494,-1.417108,-0.892262,-1.462823,QSO
-0.129065,-0.816627,-1.478385,-0.496849,QSO
0.098306,-0.681608,0.132082,-1.050089,QSO
-0.054081,-0.795308,-1.34144,-1.89312,QSO
-0.182279,-1.20392,-2.765663,-1.458432,QSO
-0.104876,-1.335386,-1.089462,-1.036916,QSO
1.13357,-1.712019,-1.062073,-0.351953,QSO
0.744137,-0.717139,-2.135718,-1.923856,QSO
0.608682,-0.557248,-2.08094,-1.085215,QSO
0.422431,-1.783082,-0.892262,-3.908493,QSO
-5.472284,-1.32828,-1.352396,-0.720779,QSO
-0.090363,-0.52527,-0.826529,-1.208157,QSO
0.231343,-1.083113,-2.590374,-0.77786,QSO
0.478064,-0.621204,-1.09494,-1.357444,QSO
-4.555543,-1.516596,-0.892262,-1.036916,QSO
