@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
0.888151,0.713915,0.750359,0.413394,QSO
0.736988,0.496594,0.609756,0.169078,QSO
0.86471,0.752838,0.672884,0.369161,QSO
0.891842,0.732079,0.824964,0.344771,QSO
0.877446,0.739864,0.668101,0.312526,QSO
0.891288,0.780733,0.604017,0.377842,QSO
0.827796,0.658774,0.632712,0.269533,QSO
0.35179,0.400584,0.687709,0.364613,QSO
0.862126,0.75673,0.765662,0.305912,QSO
0.882244,0.714564,0.669058,0.369574,QSO
0.627722,0.710023,0.694883,0.374948,QSO
0.861573,0.775868,0.664754,0.343944,QSO
0.858989,0.742459,0.770923,0.445225,QSO
0.147841,0.716186,0.747011,0.368334,QSO
0.794389,0.635744,0.675275,0.234394,QSO
0.925065,0.778138,0.726925,0.23026,QSO
0.861019,0.761271,0.765662,0.368334,QSO
0.850129,0.697048,0.679579,0.427036,QSO
0.835548,0.688615,0.610713,0.334436,QSO
0.826135,0.789166,0.684362,0.382803,QSO
0.880768,0.643205,0.661406,0.331542,QSO
0.845146,0.811223,0.696796,0.347664,QSO
0.889258,0.793383,0.595887,0.281108,QSO
0.833149,0.710347,0.773792,0.462588,QSO
0.844223,0.819007,0.645146,0.3642,QSO
0.837025,0.693156,0.747489,0.322861,QSO
0.845146,0.747973,0.696318,0.413807,QSO
0.862495,0.760298,0.83692,0.36172,QSO
0.850867,0.749919,0.708274,0.282348,QSO
0.841085,0.712618,0.583931,0.323274,QSO
0.846992,0.700616,0.730273,0.36296,QSO
0.941491,0.666234,0.732664,0.427449,QSO
0.911776,0.757055,0.638929,0.279454,QSO
0.90144,0.771651,0.643711,0.358413,QSO
0.887228,0.659747,0.747489,0.0926,QSO
0.437431,0.701265,0.707317,0.392724,QSO
0.848099,0.77457,0.753228,0.346838,QSO
0.872647,0.723646,0.599235,0.38735,QSO
0.891473,0.765813,0.729794,0.332782,QSO
0.507383,0.684074,0.747489,0.36296,QSO
0.799372,0.595199,0.684362,0.280695,QSO
0.872278,0.741486,0.791966,0.337329,QSO
0.899963,0.681479,0.713056,0.426623,QSO
0.657438,0.790788,0.737446,0.371641,QSO
0.472315,0.518651,0.731229,0.353865,QSO
0.895533,0.752189,0.618843,0.411327,QSO
0.825951,0.713591,0.702056,0.31542,QSO
0.880214,0.686993,0.760402,0.42869,QSO
0.83887,0.751541,0.679101,0.38859,QSO
0.842562,0.689912,0.720708,0.38611,QSO
0.875415,0.7723,0.66858,0.446052,QSO
0.819306,0.676938,0.704448,0.31914,QSO
0.903654,0.676289,0.779531,0.346011,QSO
0.676633,0.464807,0.617886,0.273667,QSO
0.750646,0.593253,0.602582,0.353865,QSO
0.889073,0.678235,0.735533,0.492352,QSO
0.90753,0.674343,0.752272,0.431583,QSO
0.883536,0.713591,0.68484,0.389004,QSO
0.676264,0.546546,0.47011,0.246383,QSO
0.904946,0.675316,0.762793,0.320794,QSO
0.85622,0.761271,0.821616,0.331542,QSO
0.869509,0.739539,0.748446,0.322034,QSO
0.820229,0.621797,0.611669,0.158743,QSO
0.880583,0.669478,0.687709,0.374122,QSO
0.742525,0.615958,0.536585,0.205457,QSO
0.452012,0.632501,0.627451,0.324101,QSO
0.873754,0.737269,0.673362,0.401819,QSO
0.848653,0.603308,0.68484,0.386523,QSO
0.775378,0.004217,0.580105,0.206284,QSO
0.878922,0.755433,0.610234,0.417115,QSO
0.84976,0.716186,0.598757,0.324514,QSO
0.849945,0.759974,0.685318,0.463415,QSO
0.046327,0.544275,0.60067,0.42869,QSO
0.820598,0.694778,0.764706,0.400579,QSO
0.832226,0.72397,0.779531,0.303431,QSO
0.822444,0.519299,0.624582,0.348491,QSO
0.889443,0.699643,0.768532,0.38487,QSO
0.863418,0.753163,0.746055,0.327408,QSO
0.897564,0.795654,0.611669,0.318313,QSO
0.900701,0.714564,0.651841,0.307565,QSO
0.774271,0.644178,0.69297,0.116164,QSO
0.833887,0.787545,0.82066,0.36668,QSO
0.858804,0.732728,0.733142,0.38363,QSO
0.862865,0.718132,0.745576,0.367507,QSO
0.849575,0.831009,0.604974,0.309219,QSO
0.375231,0.664288,0.717838,0.38611,QSO
0.874862,0.765488,0.669536,0.40802,QSO
0.890919,0.707428,0.770445,0.454733,QSO
0.785161,0.583198,0.702535,0.306738,QSO
